,Flock,FlockSize,TotalHeadsUp,TimeSecHeadUp,Partner
1,1,5,4,10,A
2,2,15,5,2,A
3,3,5,5,8,A
4,4,11,5,2,A
5,5,3,2,15,A
6,6,3,3,30,A
7,7,13,3,2,A
8,8,10,7,3,A
9,9,7,3,10,A
10,10,1,1,15,A
11,11,7,4,8,A
12,12,3,4,20,A
13,13,1,3,30,A
14,14,7,2,7,A
15,15,5,4,9,A
16,16,4,4,20,A
17,17,3,2,15,A
18,1,5,4,8,B
19,2,15,6,1,B
20,3,5,5,10,B
21,4,11,4,4,B
22,5,3,6,13,B
23,6,3,6,14,B
24,7,13,2,4,B
25,8,10,4,5,B
26,9,7,6,9,B
27,10,1,4,30,B
28,11,7,6,10,B
29,12,3,5,15,B
30,13,1,5,10,B
31,14,7,5,10,B
32,15,5,2,12,B
33,16,4,5,11,B
34,17,3,7,18,B
