,StartTimeMin,StartTimeSec,BehaviorCode,TimeSeconds,SecondsEngagedinBehavior,Partner
1,0,30,Eating,30,30,A
2,1,20,Locomotion,80,50,A
3,2,40,Drinking,160,80,A
4,3,0,Drinking,180,20,A
5,3,30,Eating,210,30,A
6,4,0,Foraging,240,30,A
7,4,20,Eating,260,20,A
8,5,0,Foraging,300,40,A
9,5,30,Foraging,330,30,A
10,5,50,Foraging,350,20,A
11,7,0,Locomotion,420,70,A
12,8,30,Sentry,510,90,A
13,9,0,Sentry,540,30,A
14,9,50,Foraging,590,50,A
15,0,20,Eating,20,30,B
16,1,20,Locomotion,80,60,B
17,2,40,Drinking,160,80,B
18,3,0,Drinking,180,20,B
19,3,20,Eating,200,20,B
20,4,0,Foraging,240,40,B
21,4,20,Eating,260,20,B
22,5,0,Foraging,300,40,B
23,5,30,Foraging,330,30,B
24,5,50,Foraging,350,20,B
25,7,0,Locomotion,420,70,B
26,8,0,Sentry,480,60,B
27,9,0,Sentry,540,60,B
28,9,50,Foraging,590,50,B
