,Time,Vigilant,NotVigilant,OutOfSight,Treatment,Partner
1,10,1,3,2,NoPredator,A
2,20,1,5,0,NoPredator,A
3,30,2,3,1,NoPredator,A
4,40,2,4,0,NoPredator,A
5,50,1,4,1,NoPredator,A
6,60,2,4,1,NoPredator,A
7,10,2,3,2,NoPredator,A
8,20,1,4,2,NoPredator,A
9,30,1,3,2,NoPredator,A
10,40,1,3,2,NoPredator,A
11,50,1,4,1,NoPredator,A
12,60,1,4,1,NoPredator,A
13,10,1,4,1,NoPredator,A
14,20,1,4,1,NoPredator,A
15,30,1,3,2,NoPredator,A
16,40,1,3,2,NoPredator,A
17,50,1,2,3,NoPredator,A
18,60,3,1,3,NoPredator,A
19,10,6,0,0,TerrestrialPredator,A
20,20,5,0,1,TerrestrialPredator,A
21,30,3,0,3,TerrestrialPredator,A
22,40,1,0,5,TerrestrialPredator,A
23,50,2,0,4,TerrestrialPredator,A
24,60,4,0,3,TerrestrialPredator,A
25,10,5,0,3,TerrestrialPredator,A
26,20,3,0,5,TerrestrialPredator,A
27,30,4,0,4,TerrestrialPredator,A
28,40,3,0,5,TerrestrialPredator,A
29,50,4,0,4,TerrestrialPredator,A
30,60,4,0,4,TerrestrialPredator,A
31,10,6,0,2,TerrestrialPredator,A
32,20,5,0,3,TerrestrialPredator,A
33,30,5,0,3,TerrestrialPredator,A
34,40,5,0,3,TerrestrialPredator,A
35,50,5,0,3,TerrestrialPredator,A
36,60,5,0,3,TerrestrialPredator,A
37,10,5,0,3,TerrestrialPredator,A
38,20,5,0,3,TerrestrialPredator,A
39,30,5,0,3,TerrestrialPredator,A
40,40,5,0,3,TerrestrialPredator,A
41,50,6,0,2,TerrestrialPredator,A
42,10,4,1,0,AerialPredator,A
43,20,3,2,0,AerialPredator,A
44,30,5,0,0,AerialPredator,A
45,40,2,0,3,AerialPredator,A
46,50,3,0,3,AerialPredator,A
47,60,5,0,1,AerialPredator,A
48,10,1,0,5,AerialPredator,A
49,20,2,0,4,AerialPredator,A
50,30,3,0,3,AerialPredator,A
51,40,2,0,4,AerialPredator,A
52,50,4,0,2,AerialPredator,A
53,60,3,0,3,AerialPredator,A
54,10,4,0,2,AerialPredator,A
55,20,3,1,2,AerialPredator,A
56,30,4,0,2,AerialPredator,A
57,40,2,0,4,AerialPredator,A
58,50,5,0,1,AerialPredator,A
59,60,2,0,4,AerialPredator,A
60,10,1,3,2,NoPredator,B
61,20,1,4,1,NoPredator,B
62,30,2,4,-2147483648,NoPredator,B
63,40,2,3,1,NoPredator,B
64,50,2,3,1,NoPredator,B
65,60,2,4,1,NoPredator,B
66,10,2,3,2,NoPredator,B
67,20,1,3,3,NoPredator,B
68,30,1,3,3,NoPredator,B
69,40,1,3,3,NoPredator,B
70,50,1,4,2,NoPredator,B
71,60,1,4,2,NoPredator,B
72,10,1,4,2,NoPredator,B
73,20,2,4,1,NoPredator,B
74,30,1,3,3,NoPredator,B
75,40,1,3,3,NoPredator,B
76,50,3,1,2,NoPredator,B
77,60,1,2,5,NoPredator,B
78,10,5,0,0,TerrestrialPredator,B
79,20,5,0,1,TerrestrialPredator,B
80,30,3,0,4,TerrestrialPredator,B
81,40,2,0,5,TerrestrialPredator,B
82,50,3,0,4,TerrestrialPredator,B
83,60,3,0,3,TerrestrialPredator,B
84,10,5,0,2,TerrestrialPredator,B
85,20,3,0,4,TerrestrialPredator,B
86,30,4,0,3,TerrestrialPredator,B
87,40,4,0,3,TerrestrialPredator,B
88,50,3,0,4,TerrestrialPredator,B
89,60,3,0,4,TerrestrialPredator,B
90,10,5,0,2,TerrestrialPredator,B
91,20,5,0,2,TerrestrialPredator,B
92,30,5,0,2,TerrestrialPredator,B
93,40,5,0,2,TerrestrialPredator,B
94,50,4,0,3,TerrestrialPredator,B
95,60,5,0,2,TerrestrialPredator,B
96,10,5,0,2,TerrestrialPredator,B
97,20,5,0,2,TerrestrialPredator,B
98,30,5,0,2,TerrestrialPredator,B
99,40,5,0,2,TerrestrialPredator,B
100,50,6,0,1,TerrestrialPredator,B
101,10,4,1,-2147483648,AerialPredator,B
102,20,5,0,0,AerialPredator,B
103,30,5,0,0,AerialPredator,B
104,40,3,0,2,AerialPredator,B
105,50,2,0,3,AerialPredator,B
106,60,5,0,1,AerialPredator,B
107,10,2,0,4,AerialPredator,B
108,20,2,1,3,AerialPredator,B
109,30,3,1,2,AerialPredator,B
110,40,3,1,2,AerialPredator,B
111,50,4,1,1,AerialPredator,B
112,60,3,1,2,AerialPredator,B
113,10,4,1,1,AerialPredator,B
114,20,4,1,1,AerialPredator,B
115,30,4,1,1,AerialPredator,B
116,40,2,1,3,AerialPredator,B
117,50,4,1,1,AerialPredator,B
118,60,3,0,3,AerialPredator,B
